
================================================================================
                         🚀  Welcome to TurboBFM 🚀
                      CFD tool for Turbomachinery BFM
================================================================================

Configuration file path: /Users/fneri/Documents/PhD/TurboBFM/Run/Advection2D_Translating_FE/input.ini

========================= MESH INFORMATION =========================
Number of elements:                  4096
Number of total interfaces:          8320
Number of internal interfaces:       8064
Aspect Ratio:
                                     min: 1.000000000000
                                     max: 2.000000000000
                                     average: 1.060546875000
                                     std: 0.238497276563
Skewness:
                                     min: 0.000000000000
                                     max: 0.250000000000
                                     average: 0.007812500000
                                     std: 0.043498159085
Orthogonality [deg]:
                                     min: 0.000000000000
                                     max: 0.000000000000
                                     average: 0.000000000000
                                     std: 0.000000000000
========================= END MESH INFORMATION =========================

========================= ADVECTION SOLVER =========================
Number of dimensions:                    2
Advection Velocity [m/s]:                (2.00, 1.00, 0.00)
Boundary type at i=0:                    periodic
Boundary type at i=ni:                   periodic
Boundary type at j=0:                    periodic
Boundary type at j=nj:                   periodic
========================= END SOLVER INFORMATION =========================

|--------------------------------------------------------------------------------------------------------|
|Iteration     |Time[s]       |      rms[Phi]|
|--------------------------------------------------------------------------------------------------------|
|0             |0.000e+00     |     -4.256885|
|1             |3.571e-03     |     -4.429818|
|2             |7.143e-03     |     -4.506852|
|3             |1.071e-02     |     -4.552347|
|4             |1.429e-02     |     -4.584126|
|5             |1.786e-02     |     -4.608610|
|6             |2.143e-02     |     -4.628611|
|7             |2.500e-02     |     -4.645569|
|8             |2.857e-02     |     -4.660318|
|9             |3.214e-02     |     -4.673386|
|10            |3.571e-02     |     -4.685128|
|11            |3.929e-02     |     -4.695797|
|12            |4.286e-02     |     -4.705581|
|13            |4.643e-02     |     -4.714621|
|14            |5.000e-02     |     -4.723027|
|15            |5.357e-02     |     -4.730886|
|16            |5.714e-02     |     -4.738269|
|17            |6.071e-02     |     -4.745234|
|18            |6.429e-02     |     -4.751828|
|19            |6.786e-02     |     -4.758092|
|20            |7.143e-02     |     -4.764060|
|21            |7.500e-02     |     -4.769761|
|22            |7.857e-02     |     -4.775220|
|23            |8.214e-02     |     -4.780459|
|24            |8.571e-02     |     -4.785497|
|25            |8.929e-02     |     -4.790350|
|26            |9.286e-02     |     -4.795034|
|27            |9.643e-02     |     -4.799561|
|28            |1.000e-01     |     -4.803943|
|29            |1.036e-01     |     -4.808191|
|30            |1.071e-01     |     -4.812315|
|31            |1.107e-01     |     -4.816322|
|32            |1.143e-01     |     -4.820220|
|33            |1.179e-01     |     -4.824018|
|34            |1.214e-01     |     -4.827721|
|35            |1.250e-01     |     -4.831339|
|36            |1.286e-01     |     -4.834879|
|37            |1.321e-01     |     -4.838352|
|38            |1.357e-01     |     -4.841773|
|39            |1.393e-01     |     -4.845158|
|40            |1.429e-01     |     -4.848526|
|41            |1.464e-01     |     -4.851899|
|42            |1.500e-01     |     -4.855293|
|43            |1.536e-01     |     -4.858720|
|44            |1.571e-01     |     -4.862185|
|45            |1.607e-01     |     -4.865679|
|46            |1.643e-01     |     -4.869182|
|47            |1.679e-01     |     -4.872666|
|48            |1.714e-01     |     -4.876095|
|49            |1.750e-01     |     -4.879430|
|50            |1.786e-01     |     -4.882636|
|51            |1.821e-01     |     -4.885684|
|52            |1.857e-01     |     -4.888557|
|53            |1.893e-01     |     -4.891248|
|54            |1.929e-01     |     -4.893761|
|55            |1.964e-01     |     -4.896109|
|56            |2.000e-01     |     -4.898313|
|57            |2.036e-01     |     -4.900399|
|58            |2.071e-01     |     -4.902392|
|59            |2.107e-01     |     -4.904319|
|60            |2.143e-01     |     -4.906206|
|61            |2.179e-01     |     -4.908073|
|62            |2.214e-01     |     -4.909940|
|63            |2.250e-01     |     -4.911823|
|64            |2.286e-01     |     -4.913735|
|65            |2.321e-01     |     -4.915686|
|66            |2.357e-01     |     -4.917683|
|67            |2.393e-01     |     -4.919734|
|68            |2.429e-01     |     -4.921842|
|69            |2.464e-01     |     -4.924008|
|70            |2.500e-01     |     -4.926232|
|71            |2.536e-01     |     -4.928510|
|72            |2.571e-01     |     -4.930838|
|73            |2.607e-01     |     -4.933208|
|74            |2.643e-01     |     -4.935607|
|75            |2.679e-01     |     -4.938024|
|76            |2.714e-01     |     -4.940440|
|77            |2.750e-01     |     -4.942840|
|78            |2.786e-01     |     -4.945203|
|79            |2.821e-01     |     -4.947512|
|80            |2.857e-01     |     -4.949749|
|81            |2.893e-01     |     -4.951899|
|82            |2.929e-01     |     -4.953952|
|83            |2.964e-01     |     -4.955900|
|84            |3.000e-01     |     -4.957741|
|85            |3.036e-01     |     -4.959480|
|86            |3.071e-01     |     -4.961124|
|87            |3.107e-01     |     -4.962684|
|88            |3.143e-01     |     -4.964175|
|89            |3.179e-01     |     -4.965614|
|90            |3.214e-01     |     -4.967016|
|91            |3.250e-01     |     -4.968399|
|92            |3.286e-01     |     -4.969777|
|93            |3.321e-01     |     -4.971163|
|94            |3.357e-01     |     -4.972566|
|95            |3.393e-01     |     -4.973994|
|96            |3.429e-01     |     -4.975452|
|97            |3.464e-01     |     -4.976942|
|98            |3.500e-01     |     -4.978465|
|99            |3.536e-01     |     -4.980020|
