
================================================================================
                         🚀  Welcome to TurboBFM 🚀
                      CFD tool for Turbomachinery BFM
================================================================================

Configuration file path: /Users/fneri/Documents/PhD/TurboBFM/Run/Advection2D_Translating_RK/input.ini

========================= MESH INFORMATION =========================
Number of elements:                  4096
Number of total interfaces:          8320
Number of internal interfaces:       8064
Aspect Ratio:
                                     min: 1.000000000000
                                     max: 2.000000000000
                                     average: 1.060546875000
                                     std: 0.238497276563
Skewness:
                                     min: 0.000000000000
                                     max: 0.250000000000
                                     average: 0.007812500000
                                     std: 0.043498159085
Orthogonality [deg]:
                                     min: 0.000000000000
                                     max: 0.000000000000
                                     average: 0.000000000000
                                     std: 0.000000000000
========================= END MESH INFORMATION =========================

========================= ADVECTION SOLVER =========================
Number of dimensions:                    2
Advection Velocity [m/s]:                (2.00, 1.00, 0.00)
Boundary type at i=0:                    periodic
Boundary type at i=ni:                   periodic
Boundary type at j=0:                    periodic
Boundary type at j=nj:                   periodic
========================= END SOLVER INFORMATION =========================

|--------------------------------------------------------------------------------------------------------|
|Iteration     |Time[s]       |      rms[Phi]|
|--------------------------------------------------------------------------------------------------------|
|0             |0.000e+00     |     -4.368409|
|1             |3.571e-03     |     -4.515544|
|2             |7.143e-03     |     -4.591960|
|3             |1.071e-02     |     -4.638116|
|4             |1.429e-02     |     -4.670581|
|5             |1.786e-02     |     -4.695709|
|6             |2.143e-02     |     -4.716307|
|7             |2.500e-02     |     -4.733826|
|8             |2.857e-02     |     -4.749112|
|9             |3.214e-02     |     -4.762705|
|10            |3.571e-02     |     -4.774969|
|11            |3.929e-02     |     -4.786164|
|12            |4.286e-02     |     -4.796480|
|13            |4.643e-02     |     -4.806061|
|14            |5.000e-02     |     -4.815021|
|15            |5.357e-02     |     -4.823449|
|16            |5.714e-02     |     -4.831418|
|17            |6.071e-02     |     -4.838985|
|18            |6.429e-02     |     -4.846200|
|19            |6.786e-02     |     -4.853105|
|20            |7.143e-02     |     -4.859734|
|21            |7.500e-02     |     -4.866117|
|22            |7.857e-02     |     -4.872279|
|23            |8.214e-02     |     -4.878242|
|24            |8.571e-02     |     -4.884025|
|25            |8.929e-02     |     -4.889645|
|26            |9.286e-02     |     -4.895117|
|27            |9.643e-02     |     -4.900453|
|28            |1.000e-01     |     -4.905665|
|29            |1.036e-01     |     -4.910764|
|30            |1.071e-01     |     -4.915760|
|31            |1.107e-01     |     -4.920661|
|32            |1.143e-01     |     -4.925478|
|33            |1.179e-01     |     -4.930219|
|34            |1.214e-01     |     -4.934895|
|35            |1.250e-01     |     -4.939516|
|36            |1.286e-01     |     -4.944093|
|37            |1.321e-01     |     -4.948635|
|38            |1.357e-01     |     -4.953152|
|39            |1.393e-01     |     -4.957653|
|40            |1.429e-01     |     -4.962144|
|41            |1.464e-01     |     -4.966629|
|42            |1.500e-01     |     -4.971109|
|43            |1.536e-01     |     -4.975581|
|44            |1.571e-01     |     -4.980039|
|45            |1.607e-01     |     -4.984472|
|46            |1.643e-01     |     -4.988867|
|47            |1.679e-01     |     -4.993209|
|48            |1.714e-01     |     -4.997483|
|49            |1.750e-01     |     -5.001672|
|50            |1.786e-01     |     -5.005762|
|51            |1.821e-01     |     -5.009742|
|52            |1.857e-01     |     -5.013602|
|53            |1.893e-01     |     -5.017339|
|54            |1.929e-01     |     -5.020951|
|55            |1.964e-01     |     -5.024444|
|56            |2.000e-01     |     -5.027824|
|57            |2.036e-01     |     -5.031103|
|58            |2.071e-01     |     -5.034295|
|59            |2.107e-01     |     -5.037416|
|60            |2.143e-01     |     -5.040483|
|61            |2.179e-01     |     -5.043514|
|62            |2.214e-01     |     -5.046526|
|63            |2.250e-01     |     -5.049535|
|64            |2.286e-01     |     -5.052555|
|65            |2.321e-01     |     -5.055600|
|66            |2.357e-01     |     -5.058678|
|67            |2.393e-01     |     -5.061798|
|68            |2.429e-01     |     -5.064964|
|69            |2.464e-01     |     -5.068177|
|70            |2.500e-01     |     -5.071438|
|71            |2.536e-01     |     -5.074742|
|72            |2.571e-01     |     -5.078083|
|73            |2.607e-01     |     -5.081453|
|74            |2.643e-01     |     -5.084842|
|75            |2.679e-01     |     -5.088239|
|76            |2.714e-01     |     -5.091633|
|77            |2.750e-01     |     -5.095009|
|78            |2.786e-01     |     -5.098357|
|79            |2.821e-01     |     -5.101665|
|80            |2.857e-01     |     -5.104921|
|81            |2.893e-01     |     -5.108118|
|82            |2.929e-01     |     -5.111247|
|83            |2.964e-01     |     -5.114303|
|84            |3.000e-01     |     -5.117284|
|85            |3.036e-01     |     -5.120188|
|86            |3.071e-01     |     -5.123016|
|87            |3.107e-01     |     -5.125772|
|88            |3.143e-01     |     -5.128459|
|89            |3.179e-01     |     -5.131084|
|90            |3.214e-01     |     -5.133653|
|91            |3.250e-01     |     -5.136174|
|92            |3.286e-01     |     -5.138656|
|93            |3.321e-01     |     -5.141104|
|94            |3.357e-01     |     -5.143527|
|95            |3.393e-01     |     -5.145932|
|96            |3.429e-01     |     -5.148325|
|97            |3.464e-01     |     -5.150711|
|98            |3.500e-01     |     -5.153095|
|99            |3.536e-01     |     -5.155481|
